countyfips,mean_confirmed_7d_avg,mean_deaths_7d_avg
48041,3569.8571428571427,42.142857142857146
21025,18.857142857142858,0
21027,39.857142857142854,2
19017,155.85714285714286,7
12009,4760.142857142857,61.142857142857146
48043,168.57142857142858,1.1428571428571428
48045,9.571428571428571,1
25005,8820.285714285714,615.5714285714286
44001,289,0
51520,33.857142857142854,0
2060,6,0
30007,9.285714285714286,0
54009,43.57142857142857,0
46011,108.14285714285714,0
13027,305.14285714285717,12.428571428571429
48047,63.714285714285715,0.42857142857142855
36007,952.1428571428571,62.285714285714285
8014,375.2857142857143,31.857142857142858
12011,46604.42857142857,560
17009,11.714285714285714,0
18013,60.42857142857143,1
20013,27,0
27015,66.14285714285714,2
31017,0,0
39015,79.28571428571429,1
46013,373.2857142857143,2
48049,305,14.714285714285714
55009,3692.714285714286,48.714285714285715
46015,38,0
37019,1028.2857142857142,12.285714285714286
51025,168.71428571428572,1
13029,434.42857142857144,5.857142857142857
40013,286.42857142857144,1
19019,85.42857142857143,1
29021,1007.1428571428571,9.714285714285714
51027,61.285714285714285,0
51029,589.8571428571429,6
42017,6601.142857142857,573.7142857142857
19021,1769,12
51530,38.142857142857146,0
31019,266.2857142857143,1
46017,104.57142857142857,3
55011,33.142857142857146,2
21029,241.57142857142858,4
13031,880,9
1011,404.57142857142856,10.857142857142858
37021,1346.4285714285713,43
17011,68.85714285714286,2
13033,303.57142857142856,7
37023,1418.2857142857142,24.428571428571427
38013,11.142857142857142,0
38015,697.7142857142857,2.5714285714285716
48051,211.42857142857142,0.5714285714285714
34005,5543.714285714285,468.42857142857144
48053,395.85714285714283,6.857142857142857
55013,8,1
31021,16.857142857142858,0
1013,703.2857142857143,33.857142857142854
19023,91.14285714285714,2
20015,149,0
21031,284.57142857142856,14
29023,176.14285714285714,1.1428571428571428
31023,53.142857142857146,0
39017,2326.1428571428573,53.42857142857143
42019,533.8571428571429,14
6007,736.7142857142857,5.285714285714286
46019,7.571428571428571,1
13035,392.57142857142856,35.857142857142854
37025,2091.1428571428573,36.857142857142854
54011,256.2857142857143,2
72023,148.85714285714286,0
22017,5434.142857142857,263.85714285714283
40015,259.2857142857143,11.571428571428571
72025,474,0
6009,96.85714285714286,1
22019,5093.428571428572,94.57142857142857
21033,41.57142857142857,0
22021,168.85714285714286,1
29025,25.857142857142858,1
37027,898.8571428571429,9.857142857142858
48055,952.7142857142857,8.714285714285714
50005,25,0
1015,979.8571428571429,6
5013,8.571428571428571,0
12013,242.14285714285714,7
13037,179.42857142857142,6
17013,4.714285714285714,0
19025,72.28571428571429,2
26025,684.5714285714286,39
28013,318.57142857142856,6.285714285714286
45017,252.42857142857142,3.142857142857143
48057,344.14285714285717,2.857142857142857
54013,5.142857142857143,0
48059,37.42857142857143,2.142857142857143
29027,88.42857142857143,1
21035,145.42857142857142,2
55015,204.85714285714286,2
24009,518.7142857142857,27
16025,1,0
42021,202,3
13039,463.7142857142857,3.5714285714285716
29029,168,2.7142857142857144
34007,7980,564.4285714285714
37029,50.142857142857146,2
22023,150.85714285714286,0
42023,5,0
48061,7178.428571428572,163.57142857142858
48063,179.85714285714286,2.2857142857142856
21037,441.85714285714283,13
46021,1,0
47013,124.14285714285714,1
51031,96.57142857142857,1
56005,102.71428571428571,0
72027,75.42857142857143,0
40017,776.4285714285714,4
13043,160,0.8571428571428571
47015,85.71428571428571,0
72029,242.71428571428572,0
16027,3823.5714285714284,24.857142857142858
29031,510.14285714285717,3
34009,776.1428571428571,85.28571428571429
30009,43.857142857142854,0
42025,341.7142857142857,28
56007,57.714285714285715,0
16029,21,0
21039,16.142857142857142,1
27017,110.57142857142857,0
72031,705,0
24011,384,3
51033,167,4
5015,308.42857142857144,6
13045,1482.2857142857142,42
17015,28.714285714285715,2
18015,120.57142857142857,2
19027,157.28571428571428,1
21041,131.71428571428572,2
24013,1339.2857142857142,115.28571428571429
28015,228.57142857142858,11
29033,61.57142857142857,0
33003,77.71428571428571,0.8571428571428571
39019,92.28571428571429,4
47017,111.28571428571429,2
51035,289.7142857142857,10
48065,10,0
32510,268,6.857142857142857
21043,77.28571428571429,1
29035,9.714285714285714,1
40019,240,3
47019,264.85714285714283,2.7142857142857144
37031,223.14285714285714,5
27019,635,2
30013,97.85714285714286,2
21045,128.14285714285714,8.142857142857142
17017,164.42857142857142,11
18017,1698,9
19029,33.857142857142854,0
26027,249.42857142857142,8
27021,37.857142857142854,2
29037,396.14285714285717,8
31025,130.85714285714286,1
38017,2751.285714285714,74.85714285714286
48067,113.85714285714286,3.4285714285714284
16031,396.14285714285717,1
48069,146.57142857142858,1.1428571428571428
37033,170.71428571428572,2
22025,238.14285714285714,3
72033,112.71428571428571,0
37035,1662.7142857142858,19.142857142857142
13047,436.85714285714283,8
35003,4,1
36009,149.42857142857142,6
38019,26.857142857142858,0
72035,146.57142857142858,0
36011,136.42857142857142,2
24015,584.1428571428571,30
19031,106.57142857142857,1
29039,29.857142857142858,0
31027,20,0
72037,46,0
42027,318.42857142857144,9
19033,505.14285714285717,15.714285714285714
8015,239.57142857142858,19
1017,761.1428571428571,35.714285714285715
