countyfips,mean_confirmed_7d_total,mean_deaths_7d_total
48035,109.57142857142857,0.42857142857142855
22015,2046.4285714285713,65.28571428571429
51023,196.71428571428572,4.571428571428571
38009,9.714285714285714,0
8013,1984,84.57142857142857
16021,29,0
20011,70.42857142857143,1.1428571428571428
21017,70,1.1428571428571428
48037,765.1428571428571,22.571428571428573
38011,5.428571428571429,0
31013,10.142857142857142,0
21019,156.57142857142858,3.4285714285714284
31015,1.1428571428571428,0
21021,103.85714285714286,0
21023,29.428571428571427,0
12007,253.28571428571428,3
42015,83,3.4285714285714284
5011,127.85714285714286,2.4285714285714284
47011,1585.7142857142858,10.285714285714286
26023,347.85714285714283,2.2857142857142856
13025,221.85714285714286,3.7142857142857144
54007,8.714285714285714,0
48039,6089.857142857143,45.142857142857146
48041,4105.142857142857,47.857142857142854
21025,21.857142857142858,0
21027,46,2.2857142857142856
19017,180,8
12009,5496.571428571428,73.28571428571429
48043,193.85714285714286,1.4285714285714286
48045,11.142857142857142,1.1428571428571428
25005,10096.285714285714,704.2857142857143
44001,330.42857142857144,0
51520,40.142857142857146,0
2060,6.857142857142857,0
30007,10.714285714285714,0
54009,51,0.14285714285714285
46011,124,0
13027,353.2857142857143,14.285714285714286
48047,75,0.5714285714285714
36007,1093.857142857143,71.42857142857143
8014,430.2857142857143,36.42857142857143
12011,53984,646.7142857142857
17009,13.428571428571429,0
18013,69.85714285714286,1.1428571428571428
20013,30.857142857142858,0
27015,76.57142857142857,2.2857142857142856
31017,0,0
39015,92.28571428571429,1.1428571428571428
46013,428.2857142857143,2.2857142857142856
48049,352.2857142857143,16.571428571428573
55009,4238.714285714285,55.857142857142854
46015,43.42857142857143,0
37019,1185.5714285714287,14.142857142857142
51025,195,1.1428571428571428
13029,503.57142857142856,6.714285714285714
40013,337.2857142857143,1.1428571428571428
19019,98.85714285714286,1.1428571428571428
29021,1154,11.142857142857142
51027,70.42857142857143,0
51029,674.4285714285714,6.857142857142857
42017,7568.428571428572,655.7142857142857
19021,2022.857142857143,13.714285714285714
51530,44.857142857142854,0
31019,308.14285714285717,1.1428571428571428
46017,119.57142857142857,3.4285714285714284
55011,38.42857142857143,2.2857142857142856
21029,280.57142857142856,4.571428571428571
13031,1019.5714285714286,10.571428571428571
1011,464.85714285714283,12.428571428571429
37021,1561.4285714285713,49.57142857142857
17011,80.85714285714286,2.2857142857142856
13033,356.42857142857144,8
37023,1630.5714285714287,28
38013,13.142857142857142,0
38015,817.5714285714286,3
48051,243.71428571428572,1.2857142857142858
34005,6355.714285714285,535.7142857142857
48053,470.7142857142857,8.285714285714286
55013,9.857142857142858,1.1428571428571428
31021,19.142857142857142,0
1013,806.4285714285714,38.857142857142854
19023,105.28571428571429,2.2857142857142856
20015,174.85714285714286,0
21031,325.57142857142856,16.142857142857142
29023,206.14285714285714,1.4285714285714286
